Query,#Events,Cores,Elapsed,Cores * Elapsed,Throughput/Cores,Total Usr CPU,Total Sys CPU,Current RSS,Peak RSS,Current Commit,Peak Commit,Page Faults
q0,100000,8,21,171,584394.812,76,45,134316032,60698624,134316032,134352896,2
q1,100000,8,22,179,557002.938,110,17,83849216,86183936,83849216,83886080,2
q2,100000,8,20,164,609026.812,106,5,13201408,93949952,13201408,13238272,2
q3,100000,8,21,171,581453.938,114,5,16347136,104423424,16347136,16384000,12
q4,100000,8,22,177,562698.250,140,2,1091141632,124809216,1091141632,1091178496,0
q5,100000,8,21,168,595153.062,118,1,28672,128602112,28672,65536,8
q6,100000,8,23,191,521610.156,144,6,4423680,142467072,4423680,4460544,0
q7,100000,8,21,169,588871.000,122,0,18446744073709518848,145256448,18446744073709518848,36864,4
q8,100000,8,21,175,569692.812,118,0,163840,147849216,163840,200704,6
q9,100000,8,39,316,315535.031,244,0,4485120,164319232,4485120,4521984,0
q12,100000,8,20,162,614563.500,122,0,3964928,166735872,3964928,4001792,0
q13,100000,8,24,195,511635.844,156,1,3899392,185020416,3899392,3936256,0
q14,100000,8,20,167,598570.062,123,0,753664,185475072,753664,790528,0
q15,100000,8,26,209,478218.188,169,2,1732608,203788288,1732608,1769472,10
q16,100000,8,34,272,366564.469,228,0,7307264,217010176,7307264,7344128,0
q17,100000,8,24,198,503349.156,166,8,11829248,230948864,11829248,11866112,0
q18,100000,8,24,194,514505.094,159,1,18446744073709518848,233037824,18446744073709518848,36864,0
q19,100000,8,27,219,455246.000,180,1,18446744073709518848,234573824,18446744073709518848,36864,0
q20,100000,8,25,201,497221.438,157,3,18446744073709518848,235126784,18446744073709518848,36864,0
q21,100000,8,21,170,585141.438,119,2,18446744073709514752,236654592,18446744073709514752,32768,0
q22,100000,8,21,169,588700.562,120,0,18446744073709514752,236654592,18446744073709514752,32768,0
